post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text
Bari Dining Chair - Black Pu,bari-dining-chair-black-pu,,455507,"Hey Bari (Bah-ri not Barry btw), we're liking your luxe leather look and stitching. The Bari is one stylish chair that is sure to impress your fellow diners. Superb comfort with a high level of stitch detailing and an incredibly realistic leather look PU finish this is one splendidly appointed dining chair.","<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt; -webkit-text-stroke-width: 0px;""><span style=""background:white""><span style=""font-variant-ligatures:normal""><span style=""font-variant-caps:normal""><span style=""orpHans Sofa:2""><span style=""widows:2""><span style=""text-decoration-style:initial""><span style=""text-decoration-color:initial""><span style=""word-spacing:0px""><span style=""font-size:10.5pt""><span style=""font-family:&quot;Source Sans Pro&quot;,sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em;"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span style=""font-variant-ligatures:normal""><span style=""font-variant-caps:normal""><span style=""orpHans Sofa:2""><span style=""widows:2""><span style=""text-decoration-style:initial""><span style=""text-decoration-color:initial""><span style=""word-spacing:0px""><span style=""font-size:10.5pt""><span style=""font-family:&quot;Source Sans Pro&quot;,sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm; margin-bottom:.0001pt""><p style=""margin:0cm; margin-bottom:.0001pt""><span style=""font-size:9.5pt""><span style=""background:white""><span style=""line-height:107%""><span style=""font-family:&quot;Source Sans Pro&quot;,sans-serif""><span style=""color:#333333"">Although your Bari Dining Chair is durable it is advisable you wipe off stains immediately with warm soapy water. Do not use harsh cleaning products and keep out of direct sunlight. Remember your Bari&#39;s purpose in life is for you to sit on it. Do not stand, breakdance or make like a Chinese Circus and try to balance atop of stacked Baris.</span></span></span></span></span></p></div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a target=""_blank""href=""https://inspiry.co.nz/wp-content/uploads/2020/09/GENERAL-WARRANTY-(3).pdf""><strong><em><span style=""color:#ff0000;"">here</span></em></strong></a><a target=""_blank""href=""https://inspiry.co.nz/wp-content/uploads/2020/09/GENERAL-WARRANTY-(3).pdf""> </a>to download.</p>",publish,,0,,1,open,SAL-PLBARBLK,,,no,no,,251,,5,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Bristol Dining Chair - Black,bristol-dining-chair-black,,455508,"Our most versatile chair to date, the Bristol works with a wide range of dining tables and styles. Superior comfort, easy cleaning and hard wearing. These chairs are our chair of choice at home and still going strong after 5 years and child felt pen graffiti!","<h1>Color Accuracy</h1>
<p style=""margin: 0cm 0cm 0.0001pt""><span style=""background: white""><span><span><span><span><span><span><span><span style=""font-size: 10.5pt""><span style=""font-family: 'Source Sans Pro', sans-serif"">We try our best to ensure photography depicts Colors as accurately as possible. </span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.</span></p>

<h1>Care</h1>
<p style=""margin: 0cm 0cm 0.0001pt""><span style=""background: white""><span><span><span><span><span><span><span><span style=""font-size: 10.5pt""><span style=""font-family: 'Source Sans Pro', sans-serif"">
<strong><b>PU Fabric Regular Care:</b></strong> Protect from direct sunlight, direct heat and weather. Regularly dust with a cloth and clean dry duster.

<strong><b>Cleaning:</b></strong></span></span></span></span></span></span></span></span></span></span></p>
Avoid hard rubbing or scrubbing. Remove all liquid spills immediately. Clean body contact areas regularly. Always dust before cleaning. Use cleaning system such as Color lock or Pelle. Use as per Manufacturer's instructions. Dry away from direct heat.

<strong><b>Spot Cleaning:</b></strong>

As above. Tough stains may need professional treatment.
<h1>Warranty</h1>
<p style=""margin: 0cm 0cm 0.0001pt""><span style=""background: white""><span><span><span><span><span><span><span><span style=""font-size: 10.5pt""><span style=""font-family: 'Source Sans Pro', sans-serif"">
Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,</span></span></span></span></span></span></span></span></span></span></p>
Please click <a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/GENERAL-WARRANTY-(3).pdf"" target=""_blank"" rel=""noopener""><strong><em>here</em></strong></a> to download.",publish,,0,,1,closed,SAL-EMEBRISTOLCHABLK,,,no,no,,291,218,50,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Bristol Dining Chair - White,bristol-dining-chair-white,,455509,"Our most versatile chair to date, the Bristol works with a wide range of dining tables and styles. Superior comfort, easy cleaning and hard wearing. These chairs are our chair of choice at home and still going strong after 5 years and child felt pen graffiti!","<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.</span><br />&nbsp;</p><h1>Care</h1><p><strong>PU FABRIC REGULAR CARE:</strong><br />Protect from direct sunlight, direct heat and&nbsp;weather. Regularly dust with a cloth and clean dry&nbsp;duster.</p><p><strong>CLEANING:</strong><br />Avoid hard rubbing or scrubbing. Remove all liquid&nbsp;spills immediately.&nbsp;Clean body contact areas regularly. Always dust&nbsp;before cleaning.&nbsp;Use cleaning system such as Colorlock or Pelle.&nbsp;Use as per Manufacturer&rsquo;s instructions.&nbsp;Dry away from direct heat.</p><p><strong>SPOT CLEANING:</strong><br />As above. Tough stains may need professional&nbsp;treatment.&nbsp;</p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em>here</em></strong></a> to download.</p>",private,,0,,1,open,SAL-EMEBRISTOLCHAWHT,,,no,no,,291,218,50,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Clyde Velvet Dining Chair - Burnt Orange,clyde-velvet-dining-chair-burnt-orange,,455510,Slim-lined and elegant the Clyde Dining Chair looks sharp all in one Color around the Dining Table or with 6 Color options you can mix it up for an eclectic look.,"<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm;margin-bottom:.0001pt""><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">The upholstery should not be exposed for long periods to direct sunlight or heat exposure as this may cause fading and deterioration of the cover material.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is recommended to give the upholstery a frequent vacuuming on low suction or light brushing.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">In the event of spillage it is imperative to act quickly. Carefully soak up any excess liquid, ideally using the edge of a white paper towel, then dab gently with a fresh towel taking care to avoid soaking in or spreading of the remaining liquid.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is advisable to seek professional help when serious stains occur.</span></span></span></span><br />&nbsp;</p></div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em><span style=""color:#ff0000"">here</span></em></strong></a><a> </a>to download.</p>",publish,,0,,1,closed,SAL-PLCLYBO,,,no,no,,225,169,12,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Clyde Velvet Dining Chair - Meadow,clyde-velvet-dining-chair-meadow,,455511,Slim-lined and elegant the Clyde Dining Chair looks sharp all in one Color around the Dining Table or with 6 Color options you can mix it up for an eclectic look.,"<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm;margin-bottom:.0001pt""><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">The upholstery should not be exposed for long periods to direct sunlight or heat exposure as this may cause fading and deterioration of the cover material.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is recommended to give the upholstery a frequent vacuuming on low suction or light brushing.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">In the event of spillage it is imperative to act quickly. Carefully soak up any excess liquid, ideally using the edge of a white paper towel, then dab gently with a fresh towel taking care to avoid soaking in or spreading of the remaining liquid.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is advisable to seek professional help when serious stains occur.</span></span></span></span><br />&nbsp;</p></div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em><span style=""color:#ff0000"">here</span></em></strong></a><a> </a>to download.</p>",publish,,0,,1,closed,SAL-PLCLYGR,,,no,no,,225,169,40,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Clyde Velvet Dining Chair - Ocean,clyde-velvet-dining-chair-ocean,,455512,Slim-lined and elegant the Clyde Dining Chair looks sharp all in one Color around the Dining Table or with 6 Color options you can mix it up for an eclectic look.,"<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm;margin-bottom:.0001pt""><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">The upholstery should not be exposed for long periods to direct sunlight or heat exposure as this may cause fading and deterioration of the cover material.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is recommended to give the upholstery a frequent vacuuming on low suction or light brushing.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">In the event of spillage it is imperative to act quickly. Carefully soak up any excess liquid, ideally using the edge of a white paper towel, then dab gently with a fresh towel taking care to avoid soaking in or spreading of the remaining liquid.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is advisable to seek professional help when serious stains occur.</span></span></span></span><br />&nbsp;</p></div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em><span style=""color:#ff0000"">here</span></em></strong></a><a> </a>to download.</p>",publish,,0,,1,closed,SAL-PLCLYBL,,,no,no,,225,169,55,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Clyde Velvet Dining Chair - Olive,clyde-velvet-dining-chair-olive,,455513,Slim-lined and elegant the Clyde Dining Chair looks sharp all in one Color around the Dining Table or with 6 Color options you can mix it up for an eclectic look.,"<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm;margin-bottom:.0001pt""><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">The upholstery should not be exposed for long periods to direct sunlight or heat exposure as this may cause fading and deterioration of the cover material.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is recommended to give the upholstery a frequent vacuuming on low suction or light brushing.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">In the event of spillage it is imperative to act quickly. Carefully soak up any excess liquid, ideally using the edge of a white paper towel, then dab gently with a fresh towel taking care to avoid soaking in or spreading of the remaining liquid.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is advisable to seek professional help when serious stains occur.</span></span></span></span><br />&nbsp;</p></div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em><span style=""color:#ff0000"">here</span></em></strong></a><a> </a>to download.</p>",publish,,0,,1,closed,SAL-PLCLYOL,,,no,no,,225,169,13,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Clyde Velvet Dining Chair - Tapenade,clyde-velvet-dining-chair-tapenade,,455514,Slim-lined and elegant the Clyde Dining Chair looks sharp all in one Color around the Dining Table or with 6 Color options you can mix it up for an eclectic look.,"<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm;margin-bottom:.0001pt""><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">The upholstery should not be exposed for long periods to direct sunlight or heat exposure as this may cause fading and deterioration of the cover material.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is recommended to give the upholstery a frequent vacuuming on low suction or light brushing.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">In the event of spillage it is imperative to act quickly. Carefully soak up any excess liquid, ideally using the edge of a white paper towel, then dab gently with a fresh towel taking care to avoid soaking in or spreading of the remaining liquid.</span></span></span></span></p><p style=""margin:0cm;margin-bottom:.0001pt""><span style=""background:white""><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">It is advisable to seek professional help when serious stains occur.</span></span></span></span><br />&nbsp;</p></div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em><span style=""color:#ff0000"">here</span></em></strong></a><a> </a>to download.</p>",publish,,0,,1,closed,SAL-PLCLYTEP,,,no,no,,225,169,7.5,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Datsun Dining Chair - Vintage Black,datsun-dining-chair-vintage-black,,455515,"We named this chair the Datsun because we think Datsun's are pretty cool and this chair (you might agree) is pretty cool. The Datsun is available in a range of Vintage PU Colors including Black, Blue, Camel, Dark Brown, Green and Red.Its stitched padded seat and back sits atop a brushed metal frame.","<h1>Color Accuracy</h1><p style=""margin: 0cm 0cm 0.0001pt""><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333"">We try our best to ensure photography depicts Colors as accurately as possible.&nbsp;&nbsp;</span></span></span></span></span></span></span></span></span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.&nbsp;</span><span style=""background:white""><span><span><span><span><span><span><span><span style=""font-size:10.5pt""><span style="",sans-serif""><span style=""color:#333333""> </span></span></span></span></span></span></span></span></span></span></span><br />&nbsp;</p><h1>Care</h1><p><div style=""margin:0cm;margin-bottom:.0001pt"">Although your Datsun is pretty durable it is advisable you wipe off stains immediately with warm soapy water. &nbsp;Do not use harsh cleaning products and keep out of direct sunlight. &nbsp;Remember your Datsun&#039;s purpose in life is for you to sit on it.&nbsp; Do not stand, breakdance or make like a Chinese Circus and try to balance atop of stacked&nbsp;Datsuns.<br />&nbsp;</div></p><h1>Warranty</h1><p>Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,<br />Please click <a><strong><em><span style=""color:#ff0000"">here</span></em></strong></a><a> </a>to download.</p>",publish,,0,,1,closed,SAL-PLJAPDABLK,,,no,no,,278,208,5,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
Datsun Dining Chair - Vintage Blue,datsun-dining-chair-vintage-blue,,455516,"We named this chair the Datsun because we think Datsun's are pretty cool and this chair (you might agree) is pretty cool. The Datsun is available in a range of Vintage PU Colors including Black, Blue, Camel, Dark Brown, Green and Red.Its stitched padded seat and back sits atop a brushed metal frame.","<h1>Color Accuracy</h1>
<p style=""margin: 0cm 0cm 0.0001pt""><span style=""background: white""><span style=""font-size: 10.5pt""><span style=""color: #333333"">We try our best to ensure photography depicts Colors as accurately as possible.??</span></span></span><span style=""font-size: 1em"">Colors can appear different depending on the type of display you are viewing from.?</span>
</p>

<h1>Care</h1>
<div style=""margin: 0cm;margin-bottom: .0001pt"">Although your Datsun is pretty durable it is advisable you wipe off stains immediately with warm soapy water. ?Do not use harsh cleaning products and keep out of direct sunlight. ?Remember your Datsun's purpose in life is for you to sit on it.? Do not stand, breakdance or make like a Chinese Circus and try to balance atop of stacked?Datsuns.
</div>
<h1>Warranty</h1>
Rigorously tested for correct measurements, Color, wood moisture (internals included), load bearing and construction strength. Available with Warranty,
Please click <a><strong><em><span style=""color: #ff0000"">here</span></em></strong></a> to download.",publish,,0,,1,closed,SAL-PLJAPDABLU,,,no,no,,278,208,5,,,,,instock,no,no,,no,taxable,,,no,,,,0,0,,
