post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,stock_status,backorders
Andrew Martin Fabric Over The Moon,andrew-martin-fabric-over-the-moon,,999534949,"Curls of imaginative vines in vibrant turquoise, pink and red create a loosely undulating stripe on this linen blend backcloth. Psycho Sprig, from our Kit Kemp collection, combines psychedelic fantasy with delicate surrealist detail, like a flowing intrigue leading you to a magical land.","<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:46,1049,open,OverTheMoonCharcoalGrey-P,,,instock,no
Andrew Martin Fabric Over The Moon - Charcoal Grey,variation-999535440-of-andrew-martin-fabric-over-the-moon,999534949,999535440,,Colour: Charcoal Grey,publish,,0,17/04/22 10:46,1049,closed,OverTheMoonCharcoalGrey,OverTheMoonCharcoalGrey-P,,instock,no
Andrew Martin Fabric Over The Moon - Denim,variation-999535442-of-andrew-martin-fabric-over-the-moon,999534949,999535442,,Colour: Denim,publish,,0,17/04/22 10:46,1049,closed,OverTheMoonDenim,OverTheMoonCharcoalGrey-P,,instock,no
Andrew Martin Fabric Psycho Sprig,andrew-martin-fabric-psycho-sprig,,999534951,"Inspired by American folk art, this motif will whisk you away to stories of old unleashing childlike enthusiasm for fairy tales. Walk through an imaginative land, from dark rolling hills carpeted with wild flowers to a tree growing giant orange pears and a whole dance of mythical creatures along the way.","<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:46,1049,open,PsychoSprigTropicalBlue-P,,,instock,no
Andrew Martin Fabric Psycho Sprig - Tropical Blue,variation-999535444-of-andrew-martin-fabric-psycho-sprig,999534951,999535445,,Colour: Tropical Blue,publish,,0,17/04/22 10:46,1049,closed,PsychoSprigTropicalBlue,PsychoSprigTropicalBlue-P,,instock,no
Andrew Martin Fabric Psycho Sprig - Tropical Yellow,variation-999535446-of-andrew-martin-fabric-psycho-sprig,999534951,999535447,,Colour: Tropical Yellow,publish,,0,17/04/22 10:46,1049,closed,PsychoSprigTropicalYellow,PsychoSprigTropicalBlue-P,,instock,no
Andrew Martin Fabric Travellers Tales,andrew-martin-fabric-travellers-tales,,999534953,"Inspired by American folk art, this motif will whisk you away to stories of old unleashing childlike enthusiasm for fairy tales. Walk through an imaginative land, from rolling hills carpeted with wild flowers to a tree growing giant orange pears and a whole dance of mythical creatures along the way. The colourway brings this motif up to date in hot popping pink on a powder blue backdrop, adding contemporary surprise to a scheme in true Kit Kemp style.","<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:46,1049,open,TravellersTalesCoolCharcoal-P,,,instock,no
Andrew Martin Fabric Travellers Tales - Cool Charcoal,variation-999535448-of-andrew-martin-fabric-travellers-tales,999534953,999535450,,Colour: Cool Charcoal,publish,,0,17/04/22 10:46,1049,closed,TravellersTalesCoolCharcoal,TravellersTalesCoolCharcoal-P,,instock,no
Andrew Martin Fabric Travellers Tales - Hot Pink,variation-999535450-of-andrew-martin-fabric-travellers-tales,999534953,999535452,,Colour: Hot Pink,publish,,0,17/04/22 10:46,1049,closed,TravellersTalesHotPink,TravellersTalesCoolCharcoal-P,,instock,no
Andrew Martin Fabric Hedgerow,andrew-martin-fabric-hedgerow,,999534955,"A patchwork style motif showing the playful faces of mythical creatures prancing between abundant fruit trees. Spot a dragon sprawling amongst succulent plums and a spotted leopard dancing with a strawberry bush. This traditional cotton twill imbued with tales of old is brought up to date with vibrant yellows, blues and greens in painterly fairy tale allure.","<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:46,1049,open,HedgerowCerise-P,,,instock,no
