post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:giftcard-category,meta:care_code,meta:hubwoo_ecomm_invalid_pro,meta:hubwoo_ecomm_pro_id,meta:mc4wp_updated_at,meta:selected_images_categories,meta:total_sales,meta:attribute_pa_colour,meta:attribute_pa_seats,meta:attribute_pa_size,meta:attribute_pa_upholstery,meta:attribute_sizes,attribute:brands,attribute_data:brands,attribute_default:brands,attribute:pa_abrasion-test,attribute_data:pa_abrasion-test,attribute_default:pa_abrasion-test,attribute:pa_availability,attribute_data:pa_availability,attribute_default:pa_availability,attribute:pa_back,attribute_data:pa_back,attribute_default:pa_back,attribute:pa_base,attribute_data:pa_base,attribute_default:pa_base,attribute:pa_bed-size,attribute_data:pa_bed-size,attribute_default:pa_bed-size,attribute:pa_body,attribute_data:pa_body,attribute_default:pa_body,attribute:pa_brand-name,attribute_data:pa_brand-name,attribute_default:pa_brand-name,attribute:pa_brands,attribute_data:pa_brands,attribute_default:pa_brands,attribute:pa_clasps,attribute_data:pa_clasps,attribute_default:pa_clasps,attribute:pa_collection,attribute_data:pa_collection,attribute_default:pa_collection,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_composition,attribute_data:pa_composition,attribute_default:pa_composition,attribute:pa_current-deal,attribute_data:pa_current-deal,attribute_default:pa_current-deal,attribute:pa_delivery,attribute_data:pa_delivery,attribute_default:pa_delivery,attribute:pa_design,attribute_data:pa_design,attribute_default:pa_design,attribute:pa_design-name,attribute_data:pa_design-name,attribute_default:pa_design-name,attribute:pa_design-style,attribute_data:pa_design-style,attribute_default:pa_design-style,attribute:pa_detailing,attribute_data:pa_detailing,attribute_default:pa_detailing,attribute:pa_end-use,attribute_data:pa_end-use,attribute_default:pa_end-use,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_feet,attribute_data:pa_feet,attribute_default:pa_feet,attribute:pa_fill,attribute_data:pa_fill,attribute_default:pa_fill,attribute:pa_frame,attribute_data:pa_frame,attribute_default:pa_frame,attribute:pa_frame-and-legs,attribute_data:pa_frame-and-legs,attribute_default:pa_frame-and-legs,attribute:pa_handles,attribute_data:pa_handles,attribute_default:pa_handles,attribute:pa_horizontal-pattern-repeat,attribute_data:pa_horizontal-pattern-repeat,attribute_default:pa_horizontal-pattern-repeat,attribute:pa_inslay,attribute_data:pa_inslay,attribute_default:pa_inslay,attribute:pa_leather,attribute_data:pa_leather,attribute_default:pa_leather,attribute:pa_legs,attribute_data:pa_legs,attribute_default:pa_legs,attribute:pa_legs-colour,attribute_data:pa_legs-colour,attribute_default:pa_legs-colour,attribute:pa_match,attribute_data:pa_match,attribute_default:pa_match,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_origin,attribute_data:pa_origin,attribute_default:pa_origin,attribute:pa_pattern,attribute_data:pa_pattern,attribute_default:pa_pattern,attribute:pa_pattern-repeat,attribute_data:pa_pattern-repeat,attribute_default:pa_pattern-repeat,attribute:pa_roll-length,attribute_data:pa_roll-length,attribute_default:pa_roll-length,attribute:pa_rub-test,attribute_data:pa_rub-test,attribute_default:pa_rub-test,attribute:pa_seat-and-back,attribute_data:pa_seat-and-back,attribute_default:pa_seat-and-back,attribute:pa_seats,attribute_data:pa_seats,attribute_default:pa_seats,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sold-by,attribute_data:pa_sold-by,attribute_default:pa_sold-by,attribute:pa_table-materials,attribute_data:pa_table-materials,attribute_default:pa_table-materials,attribute:pa_tabletop,attribute_data:pa_tabletop,attribute_default:pa_tabletop,attribute:pa_top,attribute_data:pa_top,attribute_default:pa_top,attribute:pa_upholstery,attribute_data:pa_upholstery,attribute_default:pa_upholstery,attribute:pa_upholstry,attribute_data:pa_upholstry,attribute_default:pa_upholstry,attribute:pa_vertical-pattern-repeat,attribute_data:pa_vertical-pattern-repeat,attribute_default:pa_vertical-pattern-repeat,attribute:pa_wide-width,attribute_data:pa_wide-width,attribute_default:pa_wide-width,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width,attribute:pa_wood,attribute_data:pa_wood,attribute_default:pa_wood,attribute:sizes,attribute_data:sizes,attribute_default:sizes
Andrew Martin Fabric Over The Moon,andrew-martin-fabric-over-the-moon,,999534949,OverTheMoonCharcoalGrey-P,,Fabric,,Free Shipping,,,yes,,2022-03-18T06:30:49+00:00,[],0,,,,,,,,,,,,Order Now!,15|1|0,,,,,,,,,,,,,,,,,Andrew Martin Fabric,1|1|0,,,,,Kit Kemp,2|1|0,,Charcoal Grey|Denim,4|1|1,Charcoal Grey,67% Viscose / 33% Linen,7|1|0,,,,,Free,16|1|0,,,,,Over The Moon,3|1|0,,Modern Contemporary,5|1|0,,,,,"Accessories, Drapery, General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,68.6Cm,9|1|0,,,,,,,,,,,,,,,,,,,,,,,Europe,13|1|0,,Dots,6|1|0,,,,,,,,20000 Martindale Rubs,12|1|0,,,,,,,,,,,Metre,14|1|0,,,,,,,,,,,,,,,,,50Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
Andrew Martin Fabric Over The Moon - Charcoal Grey,variation-999535440-of-andrew-martin-fabric-over-the-moon,999534949,999535440,OverTheMoonCharcoalGrey,OverTheMoonCharcoalGrey-P,,,Free Shipping,,,,1416852104,,,0,Charcoal Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Martin Fabric Over The Moon - Denim,variation-999535442-of-andrew-martin-fabric-over-the-moon,999534949,999535442,OverTheMoonDenim,OverTheMoonCharcoalGrey-P,,,Free Shipping,,,,1416754557,,,0,Denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Martin Fabric Psycho Sprig,andrew-martin-fabric-psycho-sprig,,999534951,PsychoSprigTropicalBlue-P,,Fabric,,,,,yes,,2022-03-18T06:30:49+00:00,,0,,,,,,,,,,,,Order Now!,15|1|0,,,,,,,,,,,,,,,,,Andrew Martin Fabric,1|1|0,,,,,Kit Kemp,2|1|0,,Tropical Blue|Tropical Yellow,4|1|1,Tropical Blue,82% Viscose / 18% Linen,7|1|0,,,,,Free,16|1|0,,,,,Psycho Sprig,3|1|0,,Modern Contemporary,5|1|0,,,,,"Accessories, Drapery, General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,45.7Cm,9|1|0,,,,,,,,,,,,,,,,,,,,,,,Europe,13|1|0,,Floral,6|1|0,,,,,,,,16000 Martindale Rubs,12|1|0,,,,,,,,,,,Metre,14|1|0,,,,,,,,,,,,,,,,,54Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
Andrew Martin Fabric Psycho Sprig - Tropical Blue,variation-999535444-of-andrew-martin-fabric-psycho-sprig,999534951,999535445,PsychoSprigTropicalBlue,PsychoSprigTropicalBlue-P,,,Free Shipping,,,,1416851003,,,0,Tropical Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Martin Fabric Psycho Sprig - Tropical Yellow,variation-999535446-of-andrew-martin-fabric-psycho-sprig,999534951,999535447,PsychoSprigTropicalYellow,PsychoSprigTropicalBlue-P,,,Free Shipping,,,,1416760447,,,0,Tropical Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Martin Fabric Travellers Tales,andrew-martin-fabric-travellers-tales,,999534953,TravellersTalesCoolCharcoal-P,,Fabric,,,,,yes,,2022-03-18T06:30:49+00:00,,0,,,,,,,,,,,,Order Now!,15|1|0,,,,,,,,,,,,,,,,,Andrew Martin Fabric,1|1|0,,,,,Kit Kemp,2|1|0,,Cool Charcoal|Hot Pink,4|1|1,Cool Charcoal,100% Cotton,7|1|0,,,,,Free,16|1|0,,,,,Travellers Tales,3|1|0,,Modern Contemporary,5|1|0,,,,,"Accessories, Drapery, General Contract",11|1|0,,,,,,,,,,,,,,,,,,,,68.5Cm,9|1|0,,,,,,,,,,,,,,,,,,,,,,,Europe,13|1|0,,Animals / Nature / Insects,6|1|0,,,,,,,,40000 Martindale Rubs,12|1|0,,,,,,,,,,,Metre,14|1|0,,,,,,,,,,,,,,,,,76Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
Andrew Martin Fabric Travellers Tales - Cool Charcoal,variation-999535448-of-andrew-martin-fabric-travellers-tales,999534953,999535450,TravellersTalesCoolCharcoal,TravellersTalesCoolCharcoal-P,,,Free Shipping,,,,1416858719,,,0,Cool Charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Martin Fabric Travellers Tales - Hot Pink,variation-999535450-of-andrew-martin-fabric-travellers-tales,999534953,999535452,TravellersTalesHotPink,TravellersTalesCoolCharcoal-P,,,Free Shipping,,,,1416855837,,,0,Hot Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Martin Fabric Hedgerow,andrew-martin-fabric-hedgerow,,999534955,HedgerowCerise-P,,Fabric,,,,,yes,,,,0,,,,,,,,,,,,Order Now!,15|1|0,,,,,,,,,,,,,,,,,Andrew Martin Fabric,1|1|0,,,,,Kit Kemp,2|1|0,,Cerise|Quince,4|1|1,Cerise,82% Viscose / 18% Linen,7|1|0,,,,,Free,16|1|0,,,,,Hedgerow,3|1|0,,Modern Contemporary,5|1|0,,,,,"Accessories, Drapery, General Contract",11|1|0,,,,,,,,,,,,,,,,,,,,138Cm,9|1|0,,,,,,,,,,,,,,,,,,,,,,,Europe,13|1|0,,Animals / Nature / Insects,6|1|0,,,,,,,,50000 Martindale Rubs,12|1|0,,,,,,,,,,,Metre,14|1|0,,,,,,,,,,,,,,,,,68.5Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
